variant,flow_residual,flow_global,vqa_yes,warp_error,subject_consistency,sharpness,colorfulness,div_vmae,div_sem,div_dino,recall,precision
AR-diff,3.4435293661365476,4.825045716613428,0.6717288154073888,0.023317756780358346,0.9225454417367777,633.8791610364926,76.66844249765079,0.15517352124055225,0.011231254308964716,0.3026818082978328,0.6083333492279053,0.6208333373069763
AR-diff-cfg3,2.667046607947365,3.695694903668118,0.6751339059736993,0.018825112955018992,0.9306774844725927,503.751675855838,62.62155264218648,0.17979946633179983,0.014194003432628933,0.34945904575288295,0.875,0.7833333611488342
AR-diff-cfg7.5,3.8232794713052374,4.689901292489521,0.6688822654386362,0.029366935492647222,0.899894597629706,615.4059493076535,89.19006340503692,0.14990979519983133,0.011911753119355068,0.27503055445849894,0.675000011920929,0.699999988079071
AR-diff-rcm,3.016199097686913,4.099358664025536,0.6659339532877008,0.01802438824520171,0.9552468319733938,916.7575882386576,86.74221998850504,0.11850053903957208,0.009496874220101653,0.26798550095409157,0.3916666805744171,0.75
S-bi-causvid,3.1509539803086954,3.359082075329267,0.6727635147050023,0.015720496482726956,0.9663594084481398,497.8579974454826,76.9150553782781,0.14374804285665352,0.012053772898914556,0.2321430860708157,0.3291666805744171,0.40416666865348816
S-bi-fastwan,2.94742294590258,2.699325729477325,0.6724750698019898,0.017263524147925695,0.9638028530800928,516.3358289178984,65.56191033222636,0.15384840990106266,0.014944661560276382,0.2849562716980775,0.5166666507720947,0.4836065471172333
S-bi-rcm,3.0737352021335393,3.532495057931228,0.6815131683109535,0.020728238106839856,0.9338229835033417,547.5950882937442,60.3246393998464,0.19863067368666332,0.01287120329963441,0.3105985124905904,0.6875,0.4124999940395355
S-causvid,2.563121228994181,2.5462318435938385,0.6775581434576048,0.017679782160357718,0.9635531043012937,967.2580305994092,79.82063455581665,0.0749136965100964,0.005736237318829783,0.119987529485176,0.03333333507180214,0.5583333373069763
S-causvid-ode,1.9640361233781731,3.202189826751007,0.6609221898019314,0.018406382793603675,0.7751511710385481,495.0807430316907,37.826061065991716,0.09379923418164253,0.004484031366932765,0.269263373936216,0.012500000186264515,0.26249998807907104
S-causvid-w4,4.504039531946182,4.604794538021087,0.7184942364692688,0.02037986199138686,0.9681228995323181,286.2853220274748,99.42462921142578,,,,,
S-cf,2.5013648274543328,3.0873219418583604,0.6791180588718917,0.01875898504164676,0.9518063853184382,628.5918598232962,70.2477335135142,0.13346252913276355,0.010680502756133178,0.2570293989032507,0.3375000059604645,0.6041666865348816
S-cf-cd,1.3490643763366097,1.8130124044010516,0.6792866481675043,0.010672612055192682,0.9339231478671233,342.3521257894178,53.79601689974467,0.19238395864764848,0.012398113819058103,0.46429885054628056,0.7541666626930237,0.5291666388511658
S-cf-fw,3.7408295037276305,4.736323026171558,0.6787613372835849,0.023220916818966843,0.9252197302877903,668.8985155905413,80.94504326184591,0.11370885049303373,0.007303263361177971,0.251757155607144,0.23749999701976776,0.574999988079071
S-cf-ode,1.8768554011921514,2.546045262591915,0.6848987714077036,0.015301709469034298,0.9225003001590569,455.44222025821,64.99690500895183,0.16357305149237314,0.011433709631681915,0.3413927427182595,0.5874999761581421,0.4958333373069763
