variant,iqa_musiq,iqa_clipiqa,iqa_maniqa,iqa_topiq_nr
AR-diff,65.81944778760274,0.5123828338459134,0.38824897116671003,0.5475006081163883
AR-diff-cfg3,67.56986039479574,0.5146211665123701,0.4050061530123154,0.5710290819406509
AR-diff-cfg7.5,62.1776652654012,0.47131372640530267,0.3500811365743478,0.5072855047881604
AR-diff-rcm,67.51931961377461,0.5533767139539123,0.43019027430564166,0.5894936431199312
S-bi-causvid,73.04833391507466,0.5558199853946765,0.4769907120615244,0.6486315722266833
S-bi-fastwan,73.94660777732975,0.5410025129552747,0.4820741317311271,0.657008173280075
S-bi-rcm,69.09581522941589,0.5171474711969495,0.433560270195206,0.6122393127530813
S-causvid,73.76808978716532,0.6344403105477492,0.5293224468827248,0.6845973869164784
S-causvid-ode,41.74940166473389,0.39671879963328444,0.4033844648549954,0.4783771468947331
S-causvid-w4,65.67395782470703,0.42837008833885193,0.40169528126716614,0.5582111477851868
S-cf,71.55598119099935,0.6067994726200898,0.46006665502985317,0.6270437861482302
S-cf-cd,63.773149220148724,0.42287426398446165,0.3524713939676682,0.5175845142453909
S-cf-fw,70.28250120480855,0.572728505730629,0.4313580136746168,0.5939159677674373
S-cf-ode,64.618940893809,0.4793514460946123,0.3954445218667388,0.5483118193844955
S-rcm-sfdmd,71.8901896794637,0.5537520945072174,0.44640038870275023,0.6180558431893587
S-rcm-sfdmd-fw,70.42599252065023,0.5276725967104237,0.4280881876746813,0.6035368687162797
S-rcm-sfdmd-scm,59.519569396972656,0.3673994541168213,0.2771393060684204,0.3778172731399536
S-rcm-tfdcm,65.11204635302225,0.49957892385621866,0.39550335630774497,0.5630363338937362
S-rcm-tfdcm-fw,67.0956472714742,0.5321351785212756,0.4145251754671335,0.5875617263217767
S-rcm-tfscm,61.72342300415039,0.35476669669151306,0.31307366490364075,0.4290419816970825
S-sf,71.64617552757264,0.5491132775321603,0.4429947905242443,0.6130404431372881
S-sf-gan,71.13269764582316,0.5423242511227727,0.4437049384539326,0.6183581475168467
S-sf-sid,68.11765214602153,0.5201298760871093,0.42301752672841153,0.581769805898269
S-sf-sid2,73.58292791048686,0.5827842069168886,0.483652550727129,0.6624464365343253
T-cfg3,67.0450699488322,0.44447721901039283,0.3887887917459011,0.558913758645455
T-cfg7.5,68.21837015151978,0.5029017065962156,0.4193132063994805,0.5936833056310813
T-few,42.53663805325826,0.4019802981366714,0.39506938320895035,0.45844118917981785
T-full,68.16410415967306,0.47912388574332,0.4152843118955692,0.5814104564487934
T-nocfg,43.205496176083884,0.4070103702445825,0.3561268618951241,0.4109243313471476
