variant,pid,seed,prompt,subset,n_frames,flow_total,flow_global,flow_residual,residual_frac,flow_total_p95,residual_autocorr,zoom_abs,dynamic_degree_score,dynamic_degree,subject_consistency,background_consistency,temporal_flicker,warp_error,sharpness,colorfulness,clip_t,vqascore,vqa_yes,vqa_min_q,warp_error_adj
S-bi-causvid,P23,2,"an astronaut riding a horse on the moon, with the Earth visible in the sky",rare,81,1.5234034195542336,0.850816292129457,1.1032746020704507,0.7242164903219082,1.9406138002872466,0.2866029099274054,0.0022089438876719213,3.9183612763881683,0.0,0.9600702524185181,0.9826107025146484,0.9661946892738342,0.011637138272635638,1040.6970743203867,54.395755767822266,0.2911267876625061,0.544509768486023,0.6876160105069479,0.6195074915885925,-0.06933915787585931
S-bi-causvid,P07,1,A tranquil tableau of a picturesque barn was painted a warm shade of red and nestled in a picturesque meadow,general,81,1.801670428365469,1.7468520641326903,0.6826311642304063,0.3788877114234475,2.4930279612541195,0.40119950658267095,0.000587154662116518,5.9130060315132145,0.0,0.993366539478302,0.9947450757026672,0.9680004119873047,0.010306474356912076,985.8256187811136,99.5289077758789,0.283762663602829,0.7971173524856567,0.6776249408721924,0.5949807167053223,-0.24989601991769472
S-bi-causvid,P21,3,three children chasing each other around a fountain in a city square,multi,81,1.9958584435284137,1.1908315813168884,1.548691176623106,0.7759520249007246,3.128472697734833,-0.12231693121278742,0.0013755686699369108,5.8476542115211485,0.0,0.9522367715835571,0.9883491396903992,0.9716845154762268,0.015133080666419118,325.8949698141206,70.86536407470703,0.2707481384277344,0.677404522895813,0.7522383729616801,0.6552916765213013,0.09629762325933378
S-bi-causvid,P24,2,a panda playing a violin on a stage under spotlights,rare,81,1.9607796775177122,0.7302807557396591,1.6647849589586259,0.8490419035882139,4.091504478454589,0.8252881486995125,0.0015249776193741126,21.41091811656952,1.0,0.9801298975944519,0.9911676645278931,0.970325231552124,0.015189101622672752,680.0335950886144,72.89188385009766,0.3101891875267029,0.596460223197937,0.6464431484540304,0.5380769371986389,0.10665110661037147
S-bi-causvid,P05,3,A person is playing guitar,general,81,0.7050194915384054,0.07926014009863139,0.6726125540211797,0.9540326303899207,1.4109761595726011,-0.3908286518832872,0.00015075706156721935,14.858956217765808,1.0,0.9985848665237427,0.9979468584060669,0.9867669939994812,0.00792802731739357,569.5032416080097,83.3856430053711,0.2442798614501953,0.5861388444900513,0.6261352300643921,0.6261352300643921,-0.23146489821571858
S-bi-causvid,P29,3,a full glass of water tipping over on a table and spilling across the surface,physics,81,0.7990884737111628,0.0618006904842332,0.7712018817430362,0.9651007892287581,2.1581370949745176,0.3913138859141746,0.00013548955505484627,12.266576254367829,1.0,0.9662664532661438,0.973930299282074,0.9855314493179321,0.011358603229746222,323.48402787873505,95.20315551757812,0.2391670197248459,0.5638516545295715,0.5884187817573547,0.41796940565109253,0.09770743008318128
S-bi-causvid,P24,0,a panda playing a violin on a stage under spotlights,rare,81,1.1019555162638426,0.47110968246124685,0.9054846103303135,0.8217062987206951,2.385482382774352,0.29689298229158484,0.0006873664902741439,10.951592540740966,0.0,0.9912107586860657,0.9927793741226196,0.9816218614578247,0.00911181615665555,760.4787163324233,73.41841888427734,0.28370147943496704,0.5877959132194519,0.643693745136261,0.512338399887085,-0.21063437084772207
S-bi-causvid,P08,2,"In a still frame, a stop sign",general,81,1.536463257111609,0.3938680942868814,1.4227633133530617,0.9259983151366677,3.467534804344177,0.8472331796063505,0.0006457824131302914,16.9153573513031,1.0,0.914118766784668,0.9566203951835632,0.9754332900047302,0.012577457510633393,412.381523438854,108.51905059814453,0.19367727637290955,0.5601237416267395,0.5270714163780212,0.5270714163780212,0.005440620719545208
S-bi-causvid,P25,0,a giraffe wearing sunglasses roller-skating down a boardwalk,rare,81,4.864688438177109,3.2936276271939278,4.283263196051121,0.8804802959130194,6.154983663558959,0.17228334328095743,0.006567021328373812,13.870001840591431,1.0,0.98444002866745,0.9913564920425415,0.9737406969070435,0.014351578417699785,269.9094137847416,76.64854431152344,0.22863605618476868,0.5985881090164185,0.6317777832349142,0.5731189250946045,-0.33647132974117167
S-bi-causvid,P23,3,"an astronaut riding a horse on the moon, with the Earth visible in the sky",rare,81,0.324118373170495,0.1316977613605559,0.3047591458074749,0.9402682191636964,0.45161730647087095,0.166273826184401,0.0005846016069881443,1.690951907634735,0.0,0.9899649620056152,0.9947342276573181,0.9919127225875854,0.005169024085626006,830.0861839224765,38.81724548339844,0.2954072654247284,0.5685486793518066,0.6923675338427225,0.613359808921814,-0.5161831870752289
